epoch,train/loss,train/miou,val/loss,val/miou
1,44.9648,0.344112,32.391,0.568855
2,32.2069,0.625751,28.3111,0.683931
3,29.13,0.666306,25.5883,0.707411
4,26.744,0.683527,25.2728,0.684324
5,25.5019,0.692968,23.7722,0.72885
6,24.3371,0.708686,23.2835,0.705307
7,23.0474,0.710804,22.6533,0.714576
8,22.3558,0.736295,22.2312,0.734329
9,21.3919,0.737517,21.8219,0.736278
10,21.1321,0.739762,22.2306,0.717828
11,20.8242,0.752824,21.5023,0.742894
12,20.2578,0.768231,21.822,0.753451
13,20.3044,0.750161,21.5793,0.752861
14,19.6013,0.779284,21.6046,0.76676
15,19.4942,0.782228,21.3693,0.774585
16,18.8744,0.789812,21.1394,0.764977
17,18.6179,0.80724,21.1919,0.76731
18,18.2115,0.798238,20.8848,0.766463
19,18.0797,0.806465,21.0763,0.772364
20,17.7202,0.818548,20.9637,0.755686
21,17.3719,0.818706,21.1642,0.76297
22,17.2095,0.82341,21.3303,0.759069
23,17.1452,0.826427,21.1216,0.740516
24,17.0599,0.823749,20.9683,0.765021
25,16.8849,0.828183,21.1697,0.771592
26,16.4687,0.838909,21.1507,0.785552
27,16.2446,0.84677,20.9925,0.78049
28,16.219,0.844694,21.5485,0.778178
29,16.298,0.844597,20.8884,0.76406
